from	entry	name	symbols	symbol	gene_id
B4DRR0	B4DRR0	B4DRR0_HUMAN	NA	NA	NA
B4DKV4	B4DKV4	B4DKV4_HUMAN	NA	NA	NA
Q53GL5	Q53GL5	Q53GL5_HUMAN	NA	NA	NA
Q7Z497	Q7Z497	Q7Z497_HUMAN	SF3B1	SF3B1	23451
A0A087X0M4	A0A087X0M4	A0A087X0M4_HUMAN	SLC4A1AP	SLC4A1AP	22950
Q6MZT3	Q6MZT3	Q6MZT3_HUMAN	DKFZp686C1054	DKFZp686C1054	55623
A0A087X2I1	A0A087X2I1	A0A087X2I1_HUMAN	PSMC6	PSMC6	5706
Q53G83	Q53G83	Q53G83_HUMAN	NA	NA	NA
B2RCY7	B2RCY7	B2RCY7_HUMAN	NA	NA	NA
A0A024R4M0	A0A024R4M0	A0A024R4M0_HUMAN	RPS9 hCG_2009111	RPS9	6203
A0A7I2V473	A0A7I2V473	A0A7I2V473_HUMAN	NACA	NACA	4666
A0A024R542	A0A024R542	A0A024R542_HUMAN	TNKS1BP1 hCG_1811635	TNKS1BP1	85456
B3KTN7	B3KTN7	B3KTN7_HUMAN	NA	NA	NA
A0A291FIZ5	A0A291FIZ5	A0A291FIZ5_HUMAN	NA	NA	NA
D3DUG9	D3DUG9	D3DUG9_HUMAN	USP14 hCG_1994849	USP14	9097
A0A0J9YVP6	A0A0J9YVP6	A0A0J9YVP6_HUMAN	PUF60	PUF60	22827
A0A384NYN5	A0A384NYN5	A0A384NYN5_HUMAN	NA	NA	NA
A0A024R576	A0A024R576	A0A024R576_HUMAN	ZFPL1 hCG_23371	ZFPL1	7542
A0A1U9X609	A0A1U9X609	A0A1U9X609_HUMAN	NA	NA	23
Q3SYF1	Q3SYF1	Q3SYF1_HUMAN	SNX12 hCG_1990496	SNX12	29934
A0A024RB17	A0A024RB17	A0A024RB17_HUMAN	FAM62A hCG_25002	FAM62A	23344
A0A024R952	A0A024R952	A0A024R952_HUMAN	PKP1 hCG_17681	PKP1	5317
Q6IAX1	Q6IAX1	Q6IAX1_HUMAN	FDFT1 hCG_17749	FDFT1	2222
Q53G55	Q53G55	Q53G55_HUMAN	NA	NA	NA
B4DT01	B4DT01	B4DT01_HUMAN	NA	NA	NA
A0A0S2Z3I4	A0A0S2Z3I4	A0A0S2Z3I4_HUMAN	RCC1	RCC1	1104
A0A6I8PR89	A0A6I8PR89	A0A6I8PR89_HUMAN	DNAJC7	DNAJC7	7266
Q53FN7	Q53FN7	Q53FN7_HUMAN	NA	NA	NA
V9HWB8	V9HWB8	V9HWB8_HUMAN	HEL-S-30	HEL-S-30	5315
B4DMJ6	B4DMJ6	B4DMJ6_HUMAN	NA	NA	NA
K9J957	K9J957	K9J957_HUMAN	PSME3	PSME3	10197
B4E1T1	B4E1T1	B4E1T1_HUMAN	NA	NA	NA
A0A024R3N2	A0A024R3N2	A0A024R3N2_HUMAN	NFRKB hCG_2032921	NFRKB	4798
A0A3B3ISQ4	A0A3B3ISQ4	A0A3B3ISQ4_HUMAN	EPS8L2	EPS8L2	64787
A0A090N8Y2	A0A090N8Y2	A0A090N8Y2_HUMAN	ERP70 tcag7.505	ERP70	9601
A8K5J1	A8K5J1	A8K5J1_HUMAN	UMPS hCG_1780791	UMPS	7372
E5KSU5	E5KSU5	E5KSU5_HUMAN	TFAM hCG_40210	TFAM	7019
D6RH17	D6RH17	D6RH17_HUMAN	ADH6	ADH6	130
B4DL41	B4DL41	B4DL41_HUMAN	NA	NA	NA
C4P0D8	C4P0D8	C4P0D8_HUMAN	TSNAX-DISC1 DISC1	TSNAX-DISC1	100303453
V9HVZ4	V9HVZ4	V9HVZ4_HUMAN	HEL-S-162eP	HEL-S-162eP	2597
A0A024R1A3	A0A024R1A3	A0A024R1A3_HUMAN	UBE1 hCG_17406	UBE1	7317
F8VXU5	F8VXU5	F8VXU5_HUMAN	VPS29	VPS29	51699
A0A1B0GVI3	A0A1B0GVI3	A0A1B0GVI3_HUMAN	KRT10	KRT10	3858
A0A024R1U0	A0A024R1U0	A0A024R1U0_HUMAN	RANGAP1 hCG_41537	RANGAP1	5905
B2R4I8	B2R4I8	B2R4I8_HUMAN	NA	NA	NA
A8K5D8	A8K5D8	A8K5D8_HUMAN	NA	NA	NA
J3KPX7	J3KPX7	J3KPX7_HUMAN	PHB2	PHB2	11331
Q0IIN1	Q0IIN1	Q0IIN1_HUMAN	KRT77	KRT77	374454
A0A384NKJ3	A0A384NKJ3	A0A384NKJ3_HUMAN	NA	NA	1632
H3BVA8	H3BVA8	H3BVA8_HUMAN	KARS1	KARS1	3735
A0A024R1V4	A0A024R1V4	A0A024R1V4_HUMAN	RPL27 hCG_16959	RPL27	6155
Q53GF8	Q53GF8	Q53GF8_HUMAN	NA	NA	NA
A0A024R8K8	A0A024R8K8	A0A024R8K8_HUMAN	HELZ hCG_29244	HELZ	9931
A0A0S2Z5A5	A0A0S2Z5A5	A0A0S2Z5A5_HUMAN	SEPT9	SEPT9	10801
A0A024R1U4	A0A024R1U4	A0A024R1U4_HUMAN	RAB5C hCG_2039680	RAB5C	5878
Q2VIN3	Q2VIN3	Q2VIN3_HUMAN	NA	NA	NA
D6RIY6	D6RIY6	D6RIY6_HUMAN	EXOSC9 hCG_38830	EXOSC9	5393
F6KPG5	F6KPG5	F6KPG5_HUMAN	NA	NA	NA
Q5JP02	Q5JP02	Q5JP02_HUMAN	RBBP7	RBBP7	5931
Q9HB00	Q9HB00	Q9HB00_HUMAN	DSC1 hCG_25474	DSC1	1823
V9HVX6	V9HVX6	V9HVX6_HUMAN	HEL-9	HEL-9	NA
A0A5F9ZGN6	A0A5F9ZGN6	A0A5F9ZGN6_HUMAN	ARG1	ARG1	383
J3KNE0	J3KNE0	J3KNE0_HUMAN	RGPD3	RGPD3	653489
Q6ZTI3	Q6ZTI3	Q6ZTI3_HUMAN	NA	NA	NA
E9PK47	E9PK47	E9PK47_HUMAN	PYGL	PYGL	5836
B3KR28	B3KR28	B3KR28_HUMAN	NA	NA	54472
B2R4R0	B2R4R0	B2R4R0_HUMAN	HIST1H4J HIST1H4H HIST1H4L hCG_1640981	HIST1H4J	121504
A0A7I2V2T3	A0A7I2V2T3	A0A7I2V2T3_HUMAN	IMPDH2 IMPDH	IMPDH2	3615
E9PPJ0	E9PPJ0	E9PPJ0_HUMAN	SF3B2	SF3B2	10992
A8K9K6	A8K9K6	A8K9K6_HUMAN	NA	NA	NA
B4DLR8	B4DLR8	B4DLR8_HUMAN	NQO1	NQO1	1728
E9PBS1	E9PBS1	E9PBS1_HUMAN	PAICS	PAICS	10606
B5BUE6	B5BUE6	B5BUE6_HUMAN	DDX5	DDX5	1655
B3KQT9	B3KQT9	B3KQT9_HUMAN	NA	NA	NA
A0A0B4J1R2	A0A0B4J1R2	A0A0B4J1R2_HUMAN	ACSS3 FLJ21963 hCG_23730	ACSS3	79611
A8K9T8	A8K9T8	A8K9T8_HUMAN	NA	NA	NA
A0A1W2PRS1	A0A1W2PRS1	A0A1W2PRS1_HUMAN	SCARB2	SCARB2	950
E9PK91	E9PK91	E9PK91_HUMAN	BCLAF1	BCLAF1	9774
A0A024R8Q1	A0A024R8Q1	A0A024R8Q1_HUMAN	GAA hCG_27920	GAA	2548
A0A024R9W7	A0A024R9W7	A0A024R9W7_HUMAN	TMEM33 hCG_1640761	TMEM33	55161
H7BZT7	H7BZT7	H7BZT7_HUMAN	ESD	ESD	2098
A0A5F9ZHD5	A0A5F9ZHD5	A0A5F9ZHD5_HUMAN	AMD1	AMD1	262
A8KAK1	A8KAK1	A8KAK1_HUMAN	NA	NA	NA
B4DM33	B4DM33	B4DM33_HUMAN	NA	NA	NA
H7BY16	H7BY16	H7BY16_HUMAN	NCL	NCL	4691
A0A024QZC1	A0A024QZC1	A0A024QZC1_HUMAN	CD2BP2 hCG_96444	CD2BP2	10421
A0A087WUZ3	A0A087WUZ3	A0A087WUZ3_HUMAN	SPTBN1	SPTBN1	6711
A1LUY1	A1LUY1	A1LUY1_HUMAN	RPL34 hCG_2027853	RPL34	6164
F8W1S1	F8W1S1	F8W1S1_HUMAN	KRT74	KRT74	121391
A0A0J9YWL0	A0A0J9YWL0	A0A0J9YWL0_HUMAN	CRYBG1	CRYBG1	202
E5RHK8	E5RHK8	E5RHK8_HUMAN	DNM3	DNM3	26052
A0A0S2Z4Q3	A0A0S2Z4Q3	A0A0S2Z4Q3_HUMAN	CNBP	CNBP	7555
A0A024R258	A0A024R258	A0A024R258_HUMAN	UBQLN1 hCG_27739	UBQLN1	29979
A0A1S5UZ07	Q9Y490	TLN1_HUMAN	TLN1 KIAA1027 TLN	TLN1	7094
B3KN49	B3KN49	B3KN49_HUMAN	NA	NA	NA
H9KV82	H9KV82	H9KV82_HUMAN	EFHB	EFHB	151651
H0Y4T6	H0Y4T6	H0Y4T6_HUMAN	PIN4	PIN4	5303
H0YMW4	H0YMW4	H0YMW4_HUMAN	ANXA2	ANXA2	302
A8K4W2	A8K4W2	A8K4W2_HUMAN	NA	NA	NA
Q53T09	Q53T09	Q53T09_HUMAN	XRCC5	XRCC5	7520
A0A024R0Y2	A0A024R0Y2	A0A024R0Y2_HUMAN	hCG_30204	hCG_30204	31
B4DXC4	B4DXC4	B4DXC4_HUMAN	NA	NA	25923
H7C463	H7C463	H7C463_HUMAN	IMMT	IMMT	10989
B3KN82	B3KN82	B3KN82_HUMAN	NA	NA	NA
B4DZJ6	B4DZJ6	B4DZJ6_HUMAN	NA	NA	NA
A0A024RDY0	A0A024RDY0	A0A024RDY0_HUMAN	RANBP5 hCG_29105	RANBP5	NA
Q5TDF0	Q5TDF0	Q5TDF0_HUMAN	NTPCR C1orf57 hCG_15829	NTPCR	84284
B7ZM99	B7ZM99	B7ZM99_HUMAN	MTHFD1L	MTHFD1L	25902
B4DPJ2	B4DPJ2	B4DPJ2_HUMAN	NA	NA	NA
Q6AI18	Q6AI18	Q6AI18_HUMAN	DKFZp686M148	DKFZp686M148	NA
B2R960	B2R960	B2R960_HUMAN	NA	NA	NA
A0A024RAT5	A0A024RAT5	A0A024RAT5_HUMAN	SLCO1A2 hCG_25049	SLCO1A2	6579
V9HW09	V9HW09	V9HW09_HUMAN	HEL-S-91n	HEL-S-91n	5714
B4DJQ5	B4DJQ5	B4DJQ5_HUMAN	NA	NA	5589
A0A090N7V5	A0A090N7V5	A0A090N7V5_HUMAN	C7orf24 tcag7.1010	C7orf24	79017
B2RDE1	B2RDE1	B2RDE1_HUMAN	NA	NA	NA
A0A024R3T8	A0A024R3T8	A0A024R3T8_HUMAN	PARP1 hCG_14746	PARP1	142
B7Z6K2	B7Z6K2	B7Z6K2_HUMAN	NA	NA	2590
A0A024RAC7	A0A024RAC7	A0A024RAC7_HUMAN	ALDH4A1 hCG_25108	ALDH4A1	8659
K7EJV9	K7EJV9	K7EJV9_HUMAN	RPL23A	RPL23A	6147
B4DXF3	B4DXF3	B4DXF3_HUMAN	NA	NA	NA
Q8N5Z7	Q8N5Z7	Q8N5Z7_HUMAN	RPL6	RPL6	6128
K7ES02	K7ES02	K7ES02_HUMAN	BLMH	BLMH	642
C1PHA2	C1PHA2	C1PHA2_HUMAN	KIF5B-ALK	KIF5B-ALK	NA
V9HWE0	V9HWE0	V9HWE0_HUMAN	HEL-S-7	HEL-S-7	308
B7ZMD6	B7ZMD6	B7ZMD6_HUMAN	IRGQ	IRGQ	126298
A8K646	A8K646	A8K646_HUMAN	NA	NA	NA
Q2I0Y7	Q2I0Y7	Q2I0Y7_HUMAN	NA	NA	NA
Q562Z4	Q562Z4	Q562Z4_HUMAN	ACT	ACT	NA
B2R6D0	B2R6D0	B2R6D0_HUMAN	NA	NA	NA
B7Z591	B7Z591	B7Z591_HUMAN	TMCO1 hCG_1766418	TMCO1	54499
A8K3K1	A8K3K1	A8K3K1_HUMAN	NA	NA	NA
A0A0B4J210	A0A0B4J210	A0A0B4J210_HUMAN	LARP1	LARP1	23367
A0A494C1K3	A0A494C1K3	A0A494C1K3_HUMAN	GTF2I	GTF2I	2969
F5GXS8	F5GXS8	F5GXS8_HUMAN	QKI	QKI	9444
B4DUQ1	B4DUQ1	B4DUQ1_HUMAN	HNRNPK	HNRNPK	3190
M0R210	M0R210	M0R210_HUMAN	RPS16 hCG_43353	RPS16	6217
S4R3M9	S4R3M9	S4R3M9_HUMAN	TCEA3	TCEA3	6920
Q7LDK6	Q7LDK6	Q7LDK6_HUMAN	DECR	DECR	NA
A0A1B0GW23	A0A1B0GW23	A0A1B0GW23_HUMAN	ABHD14A-ACY1	ABHD14A-ACY1	100526760
F5GXR3	F5GXR3	F5GXR3_HUMAN	PTMS	PTMS	5763
A0A804HK30	A0A804HK30	A0A804HK30_HUMAN	LRPPRC	LRPPRC	10128
F5GZQ3	F5GZQ3	F5GZQ3_HUMAN	HADHB	HADHB	3032
A0A384NKW7	A0A384NKW7	A0A384NKW7_HUMAN	NA	NA	1434
G4XXL9	G4XXL9	G4XXL9_HUMAN	CYCS hCG_2009955	CYCS	54205
A0A0K0K1H7	A0A0K0K1H7	A0A0K0K1H7_HUMAN	HEL-S-284	HEL-S-284	NA
A0A804HLJ9	A0A804HLJ9	A0A804HLJ9_HUMAN	MCCC2	MCCC2	64087
Q5TZP7	Q5TZP7	Q5TZP7_HUMAN	APEX1 hCG_40473	APEX1	328
A0A024R5C5	A0A024R5C5	A0A024R5C5_HUMAN	PC hCG_20121	PC	5091
H0YFH1	H0YFH1	H0YFH1_HUMAN	A2M	A2M	2
V9HW90	V9HW90	V9HW90_HUMAN	HEL-75 HEL-S-122m	HEL-75	2936
E9PE24	E9PE24	E9PE24_HUMAN	VSNL1	VSNL1	7447
A0A0S2Z4Z0	A0A0S2Z4Z0	A0A0S2Z4Z0_HUMAN	RBM14	RBM14	10432
A0A0A6YYJ8	A0A0A6YYJ8	A0A0A6YYJ8_HUMAN	LUC7L2	LUC7L2	100996928
C9JIF9	C9JIF9	C9JIF9_HUMAN	APEH	APEH	327
E9PHY5	E9PHY5	E9PHY5_HUMAN	EPB41L2	EPB41L2	2037
Q6ZPD0	Q6ZPD0	Q6ZPD0_HUMAN	NA	NA	NA
A0A804HJL6	A0A804HJL6	A0A804HJL6_HUMAN	ALG1	ALG1	56052
A0A384MDQ7	A0A384MDQ7	A0A384MDQ7_HUMAN	NA	NA	NA
B4DKX5	B4DKX5	B4DKX5_HUMAN	NA	NA	NA
B5BU63	B5BU63	B5BU63_HUMAN	KLC1	KLC1	3831
B4E3V2	B4E3V2	B4E3V2_HUMAN	NA	NA	NA
B7Z9V4	B7Z9V4	B7Z9V4_HUMAN	NA	NA	NA
A8E4L4	A8E4L4	A8E4L4_HUMAN	ZBTB10	ZBTB10	65986
Q32Q12	Q32Q12	Q32Q12_HUMAN	NME1-NME2 hCG_2001850	NME1-NME2	654364
B4DDD6	B4DDD6	B4DDD6_HUMAN	DBNL	DBNL	28988
Q59EA2	Q59EA2	Q59EA2_HUMAN	NA	NA	NA
A0A384MTW7	A0A384MTW7	A0A384MTW7_HUMAN	NA	NA	4830
Q3B7K3	Q3B7K3	Q3B7K3_HUMAN	IKIP	IKIP	NA
D6RA82	D6RA82	D6RA82_HUMAN	ANXA3	ANXA3	306
D3DWY7	D3DWY7	D3DWY7_HUMAN	VBP1 hCG_17616	VBP1	7411
B3KNL2	B3KNL2	B3KNL2_HUMAN	RUVBL2 hCG_16214	RUVBL2	10856
Q6P5V6	Q6P5V6	Q6P5V6_HUMAN	SNX5	SNX5	27131
A0A024QZD5	A0A024QZD5	A0A024QZD5_HUMAN	SNRP70 hCG_16213	SNRP70	6625
B0S8I6	B0S8I6	B0S8I6_HUMAN	FAM50A	FAM50A	9130
B1WB49	B1WB49	B1WB49_HUMAN	BDP1	BDP1	55814
E7EQG2	E7EQG2	E7EQG2_HUMAN	EIF4A2	EIF4A2	1974
K9JA46	K9JA46	K9JA46_HUMAN	EL52 HEL-S-65p HSP90AA1 hCG_1814169	EL52	3320
A0A2S0BDD1	A0A2S0BDD1	A0A2S0BDD1_HUMAN	ATIII-R2	ATIII-R2	NA
A0A024RBS2	A0A024RBS2	A0A024RBS2_HUMAN	RPLP0 hCG_2016152	RPLP0	6175
F8W0C6	F8W0C6	F8W0C6_HUMAN	KRT5	KRT5	3852
F8WCF6	F8WCF6	F8WCF6_HUMAN	ARPC4-TTLL3	ARPC4-TTLL3	100526693
B4DR70	B4DR70	B4DR70_HUMAN	NA	NA	NA
Q86UY0	Q86UY0	Q86UY0_HUMAN	TXNDC5	TXNDC5	81567
A0A0S2Z4V5	A0A0S2Z4V5	A0A0S2Z4V5_HUMAN	PQBP1 hCG_19821	PQBP1	10084
A0A024QZK4	A0A024QZK4	A0A024QZK4_HUMAN	PHYHIPL hCG_41128	PHYHIPL	84457
Q53H03	Q53H03	Q53H03_HUMAN	NA	NA	NA
A0A087WUT6	A0A087WUT6	A0A087WUT6_HUMAN	EIF5B	EIF5B	9669
A7BI36	A7BI36	A7BI36_HUMAN	RRBP1	RRBP1	6238
A0A384NPQ2	A0A384NPQ2	A0A384NPQ2_HUMAN	NA	NA	5052
A0A024R4T4	A0A024R4T4	A0A024R4T4_HUMAN	UBE2M hCG_2045958	UBE2M	9040
B4DS57	B4DS57	B4DS57_HUMAN	NA	NA	NA
B4DTS5	B4DTS5	B4DTS5_HUMAN	NA	NA	NA
Q68DI5	Q68DI5	Q68DI5_HUMAN	DKFZp781H1425	DKFZp781H1425	NA
V9HWC7	V9HWC7	V9HWC7_HUMAN	HEL-S-128m PRDX6 hCG_22109	HEL-S-128m	9588
V9HW62	V9HW62	V9HW62_HUMAN	HEL-S-74	HEL-S-74	NA
A0A384NY87	A0A384NY87	A0A384NY87_HUMAN	NA	NA	6342
A0A024RD80	A0A024RD80	A0A024RD80_HUMAN	HSP90AB1 hCG_19001	HSP90AB1	3326
B5FX47	B5FX47	B5FX47_HUMAN	NA	NA	NA
Q6N0B1	Q6N0B1	Q6N0B1_HUMAN	DKFZp686D0880	DKFZp686D0880	NA
Q969I0	Q969I0	Q969I0_HUMAN	KRT8	KRT8	3856
B2R6E2	B2R6E2	B2R6E2_HUMAN	NA	NA	NA
A0A2R8Y5A3	A0A2R8Y5A3	A0A2R8Y5A3_HUMAN	CTNNB1	CTNNB1	1499
A8K7F6	A8K7F6	A8K7F6_HUMAN	NA	NA	NA
A0A669KB05	A0A669KB05	A0A669KB05_HUMAN	CTNND1	CTNND1	1500
B4DY17	B4DY17	B4DY17_HUMAN	APIP	APIP	51074
Q53R19	Q53R19	Q53R19_HUMAN	ARPC2 hCG_16304	ARPC2	10109
V9HW63	V9HW63	V9HW63_HUMAN	HEL-S-97n PRDX4 hCG_17636	HEL-S-97n	10549
A0A7I2V4H7	A0A7I2V4H7	A0A7I2V4H7_HUMAN	CIT	CIT	11113
B4DWU0	B4DWU0	B4DWU0_HUMAN	NA	NA	NA
Q8IZ29	Q8IZ29	Q8IZ29_HUMAN	TUBB2C	TUBB2C	NA
A8K761	A8K761	A8K761_HUMAN	NDUFB10 hCG_42700	NDUFB10	4716
K7EQQ3	K7EQQ3	K7EQQ3_HUMAN	KRT9	KRT9	3857
B2R6L0	B2R6L0	B2R6L0_HUMAN	NA	NA	NA
Q6IPH7	Q6IPH7	Q6IPH7_HUMAN	RPL14	RPL14	9045
H7BZV9	H7BZV9	H7BZV9_HUMAN	ANKRD54	ANKRD54	129138
B4DWG1	B4DWG1	B4DWG1_HUMAN	NA	NA	NA
B5BUB5	B5BUB5	B5BUB5_HUMAN	SSB	SSB	6741
B4DEN6	B4DEN6	B4DEN6_HUMAN	NA	NA	NA
A0A384NYT8	A0A384NYT8	A0A384NYT8_HUMAN	NA	NA	NA
A0A7I2PK44	A0A7I2PK44	A0A7I2PK44_HUMAN	AIFM1	AIFM1	9131
B3KTS5	B3KTS5	B3KTS5_HUMAN	NA	NA	7416
V9HW06	V9HW06	V9HW06_HUMAN	HEL-S-51e SHMT2 hCG_41231	HEL-S-51e	6472
A0A7P0TAW3	A0A7P0TAW3	A0A7P0TAW3_HUMAN	VCP	VCP	7415
B3KM34	B3KM34	B3KM34_HUMAN	NA	NA	9512
A0A384NKK0	A0A384NKK0	A0A384NKK0_HUMAN	TCEAL4 hCG_1657259	TCEAL4	79921
A0A140VK93	A0A140VK93	A0A140VK93_HUMAN	AK2	AK2	204
A0A3S6RH37	A0A3S6RH37	A0A3S6RH37_HUMAN	HLA-DQB1	HLA-DQB1	3119
A0A1U9X9C1	A0A1U9X9C1	A0A1U9X9C1_HUMAN	NA	NA	NA
A8K486	A8K486	A8K486_HUMAN	NA	NA	NA
Q1HBJ4	Q1HBJ4	Q1HBJ4_HUMAN	MAPK1 hCG_32557	MAPK1	5594
Q6IBN0	Q6IBN0	Q6IBN0_HUMAN	PSMD3	PSMD3	5709
A8K4I8	A8K4I8	A8K4I8_HUMAN	NA	NA	NA
B4DK69	B4DK69	B4DK69_HUMAN	AKR1C2	AKR1C2	1646
A0A140VJW8	A0A140VJW8	A0A140VJW8_HUMAN	NA	NA	55714
E9PG15	E9PG15	E9PG15_HUMAN	YWHAQ	YWHAQ	10971
E5RFH3	E5RFH3	E5RFH3_HUMAN	MRPS28	MRPS28	28957
A0A384MTR5	A0A384MTR5	A0A384MTR5_HUMAN	NA	NA	8607
A0A654ICQ6	A0A654ICQ6	A0A654ICQ6_HUMAN	CXNN	CXNN	84694
J3KTL2	J3KTL2	J3KTL2_HUMAN	SRSF1 SFRS1 hCG_1774411	SRSF1	6426
Q53FB6	Q53FB6	Q53FB6_HUMAN	NA	NA	NA
B2RBD5	B2RBD5	B2RBD5_HUMAN	NA	NA	NA
A0A0B4J269	A0A0B4J269	A0A0B4J269_HUMAN	NA	NA	NA
B2RD00	B2RD00	B2RD00_HUMAN	NA	NA	NA
Q53F48	Q53F48	Q53F48_HUMAN	NA	NA	3189
B7Z8R6	B7Z8R6	B7Z8R6_HUMAN	NA	NA	NA
D3DND1	D3DND1	D3DND1_HUMAN	CDV3 hCG_14782	CDV3	55573
A0A024R1N4	A0A024R1N4	A0A024R1N4_HUMAN	XRCC6 hCG_2013151	XRCC6	2547
A0A024R5A3	A0A024R5A3	A0A024R5A3_HUMAN	CAPN1 hCG_23396	CAPN1	823
Q8TER9	Q8TER9	Q8TER9_HUMAN	FLJ00124	FLJ00124	NA
B4DEN5	B4DEN5	B4DEN5_HUMAN	NA	NA	NA
D6RAN4	D6RAN4	D6RAN4_HUMAN	RPL9	RPL9	6133
E7EX44	E7EX44	E7EX44_HUMAN	CALD1	CALD1	800
J3QR09	J3QR09	J3QR09_HUMAN	RPL19	RPL19	6143
D0PNI1	D0PNI1	D0PNI1_HUMAN	YWHAZ HEL-S-3 HEL-S-93 HEL4 hCG_2009146	YWHAZ	7534
B7Z5X3	B7Z5X3	B7Z5X3_HUMAN	NA	NA	NA
B7Z3E7	B7Z3E7	B7Z3E7_HUMAN	NA	NA	NA
A0A6Q8PH65	A0A6Q8PH65	A0A6Q8PH65_HUMAN	HSPB1	HSPB1	3315
B2R6A3	B2R6A3	B2R6A3_HUMAN	NA	NA	NA
A0A087WVN4	A0A087WVN4	A0A087WVN4_HUMAN	FDPS	FDPS	2224
Q06AH7	Q06AH7	Q06AH7_HUMAN	TF	TF	7018
C9JZI1	C9JZI1	C9JZI1_HUMAN	RFC4	RFC4	5984
D6RJI3	D6RJI3	D6RJI3_HUMAN	FBN2	FBN2	2201
A8K015	A8K015	A8K015_HUMAN	SULT2A1 hCG_201431	SULT2A1	6822
F8VUG2	F8VUG2	F8VUG2_HUMAN	KRT8	KRT8	3856
C9JM50	C9JM50	C9JM50_HUMAN	KRT19	KRT19	3880
B4DHQ3	B4DHQ3	B4DHQ3_HUMAN	NA	NA	NA
F5GWP8	F5GWP8	F5GWP8_HUMAN	NA	NA	NA
K7EPJ9	K7EPJ9	K7EPJ9_HUMAN	KRT17	KRT17	3872
G3V1C3	Q9BZZ5	API5_HUMAN	API5 MIG8	API5	8539
V9HW26	V9HW26	V9HW26_HUMAN	HEL-S-123m hCG_23783	HEL-S-123m	498
V9HWK1	V9HWK1	V9HWK1_HUMAN	HEL-S-49	HEL-S-49	7167
Q8WUI6	Q8WUI6	Q8WUI6_HUMAN	COPG	COPG	NA
A0A384MEJ3	A0A384MEJ3	A0A384MEJ3_HUMAN	NA	NA	NA
B4DE59	B4DE59	B4DE59_HUMAN	NA	NA	NA
A0A0F7G8J1	A0A0F7G8J1	A0A0F7G8J1_HUMAN	PLG	PLG	5340
Q9UNM1	Q9UNM1	Q9UNM1_HUMAN	EPFP1	EPFP1	NA
B4DMQ7	B4DMQ7	B4DMQ7_HUMAN	TP53I3 hCG_22385	TP53I3	9540
A0A6Q8PGZ8	A0A6Q8PGZ8	A0A6Q8PGZ8_HUMAN	GARS1	GARS1	2617
B4DEA8	B4DEA8	B4DEA8_HUMAN	NA	NA	NA
V9HWF4	V9HWF4	V9HWF4_HUMAN	HEL-S-68p	HEL-S-68p	5230
A0A024RAJ6	A0A024RAJ6	A0A024RAJ6_HUMAN	HEXB hCG_38198	HEXB	3074
A0A384MDT2	A0A384MDT2	A0A384MDT2_HUMAN	NA	NA	NA
B4DRM3	B4DRM3	B4DRM3_HUMAN	NA	NA	1975
A0A024R6Q1	A0A024R6Q1	A0A024R6Q1_HUMAN	EIF5 hCG_25496	EIF5	1983
B5MCP9	B5MCP9	B5MCP9_HUMAN	RPS7	RPS7	6201
B5BU24	B5BU24	B5BU24_HUMAN	YWHAB	YWHAB	7529
A0A024R6W2	A0A024R6W2	A0A024R6W2_HUMAN	NUDT21 hCG_23912	NUDT21	11051
Q59GE5	Q59GE5	Q59GE5_HUMAN	NA	NA	NA
V9HW39	V9HW39	V9HW39_HUMAN	HEL-S-100	HEL-S-100	NA
V9HW95	V9HW95	V9HW95_HUMAN	HEL-S-84	HEL-S-84	5954
B4DTV0	B4DTV0	B4DTV0_HUMAN	NA	NA	79026
B3KM89	B3KM89	B3KM89_HUMAN	NA	NA	NA
Q53EM5	Q53EM5	Q53EM5_HUMAN	NA	NA	NA
F8VYN9	F8VYN9	F8VYN9_HUMAN	ARL1	ARL1	400
A0A7I2YQL2	A0A7I2YQL2	A0A7I2YQL2_HUMAN	BTF3	BTF3	689
D9IAI1	D9IAI1	D9IAI1_HUMAN	PEBP1 HEL-S-34 hCG_2016249	PEBP1	5037
A0A024R866	A0A024R866	A0A024R866_HUMAN	RPL35 hCG_2021297	RPL35	11224
Q53HV2	Q53HV2	Q53HV2_HUMAN	NA	NA	NA
A0A024R713	A0A024R713	A0A024R713_HUMAN	DLD hCG_17110	DLD	1738
A0A024R4F1	A0A024R4F1	A0A024R4F1_HUMAN	HEL-S-17 ENO1 hCG_22399	HEL-S-17	2023
A0A804HI36	A0A804HI36	A0A804HI36_HUMAN	ACSL4	ACSL4	2182
Q8J014	Q8J014	Q8J014_HUMAN	rps2	rps2	NA
V9HWB9	V9HWB9	V9HWB9_HUMAN	HEL-S-133P	HEL-S-133P	3939
Q6PKI6	Q6PKI6	Q6PKI6_HUMAN	YBX1	YBX1	4904
A0A024R1X6	A0A024R1X6	A0A024R1X6_HUMAN	KRT14 hCG_2005483	KRT14	3861
A0A140VKC8	A0A140VKC8	A0A140VKC8_HUMAN	NA	NA	7264
V9HWA9	V9HWA9	V9HWA9_HUMAN	HEL-S-62p	HEL-S-62p	718
A0A1W2PQS6	A0A1W2PQS6	A0A1W2PQS6_HUMAN	RPS10-NUDT3	RPS10-NUDT3	100529239
A0A024RAN2	A0A024RAN2	A0A024RAN2_HUMAN	CAST hCG_2016526	CAST	831
B2R8A1	B2R8A1	B2R8A1_HUMAN	SUCLG1	SUCLG1	8802
A0A024R8E8	A0A024R8E8	A0A024R8E8_HUMAN	SETX hCG_2021532	SETX	23064
