from	entry	name	symbols	symbol	gene_id
A0A7I2V697	A0A7I2V697	A0A7I2V697_HUMAN	SGTA	SGTA	6449
B4DMK6	B4DMK6	B4DMK6_HUMAN	NA	NA	NA
B4DSF0	B4DSF0	B4DSF0_HUMAN	NA	NA	NA
Q53HL1	Q53HL1	Q53HL1_HUMAN	NA	NA	NA
B7ZBH1	B7ZBH1	B7ZBH1_HUMAN	EIF6	EIF6	3692
D6RFH4	D6RFH4	D6RFH4_HUMAN	CYB5B	CYB5B	80777
A0A024RAA5	A0A024RAA5	A0A024RAA5_HUMAN	CDC42 hCG_1981007	CDC42	998
A0A087X1Z3	A0A087X1Z3	A0A087X1Z3_HUMAN	PSME2	PSME2	5721
A0A384MTZ4	A0A384MTZ4	A0A384MTZ4_HUMAN	NA	NA	NA
B0AZV0	B0AZV0	B0AZV0_HUMAN	NA	NA	11171
K7ES25	K7ES25	K7ES25_HUMAN	PEPD	PEPD	5184
A0A024R7J7	A0A024R7J7	A0A024R7J7_HUMAN	DDA1 hCG_2039968	DDA1	79016
A0A0G2JQN5	A0A0G2JQN5	A0A0G2JQN5_HUMAN	ADI1	ADI1	55256
Q58F09	Q58F09	Q58F09_HUMAN	GCS1	GCS1	7841
B7Z212	B7Z212	B7Z212_HUMAN	HMGCLL1	HMGCLL1	54511
B2CIS9	B2CIS9	B2CIS9_HUMAN	CASP14 hCG_38589	CASP14	23581
A0A024R4X7	A0A024R4X7	A0A024R4X7_HUMAN	hCG_1989366	hCG_1989366	10762
A0A087X1A9	A0A087X1A9	A0A087X1A9_HUMAN	SEC22B	SEC22B	9554
E5KN55	E5KN55	E5KN55_HUMAN	NA	NA	5481
B3KXM2	B3KXM2	B3KXM2_HUMAN	NA	NA	NA
Q6FGZ3	Q6FGZ3	Q6FGZ3_HUMAN	EPHX1	EPHX1	2052
B2RAH7	B2RAH7	B2RAH7_HUMAN	NA	NA	5550
B4DUG4	B4DUG4	B4DUG4_HUMAN	NA	NA	NA
B4DWC1	B4DWC1	B4DWC1_HUMAN	NA	NA	3176
B7ZLP8	B7ZLP8	B7ZLP8_HUMAN	TARS3 TARSL2	TARS3	123283
F8W9G7	F8W9G7	F8W9G7_HUMAN	HAT1	HAT1	8520
A0A096LNZ9	A0A096LNZ9	A0A096LNZ9_HUMAN	ISG15	ISG15	9636
Q6IAT9	Q6IAT9	Q6IAT9_HUMAN	PSMB6 hCG_32695	PSMB6	5694
A1MMZ0	A1MMZ0	A1MMZ0_HUMAN	LOC92689 hCG_39019	LOC92689	92689
A0A7I2V4I6	A0A7I2V4I6	A0A7I2V4I6_HUMAN	HNRNPA2B1	HNRNPA2B1	3181
H0YI09	H0YI09	H0YI09_HUMAN	TMT1A	TMT1A	NA
Q7Z4W8	Q7Z4W8	Q7Z4W8_HUMAN	NA	NA	NA
B4DH12	B4DH12	B4DH12_HUMAN	NA	NA	NA
H0YA22	H0YA22	H0YA22_HUMAN	NA	NA	NA
A0A0G2JQK5	A0A0G2JQK5	A0A0G2JQK5_HUMAN	NXN	NXN	64359
B4DLC0	B4DLC0	B4DLC0_HUMAN	NA	NA	NA
A0A024R565	A0A024R565	A0A024R565_HUMAN	HSPC152 hCG_23383	HSPC152	51504
Q9P1Y0	Q9P1Y0	Q9P1Y0_HUMAN	HNMT	HNMT	3176
A0A286YF37	A0A286YF37	A0A286YF37_HUMAN	FBXO2	FBXO2	26232
A0A494C0X0	A0A494C0X0	A0A494C0X0_HUMAN	TBCB	TBCB	1155
B7ZA10	B7ZA10	B7ZA10_HUMAN	NA	NA	27236
A0A0S2Z4H2	A0A0S2Z4H2	A0A0S2Z4H2_HUMAN	S100A1	S100A1	6271
A4D0V4	A4D0V4	A4D0V4_HUMAN	CAPZA2 hCG_37884 tcag7.31	CAPZA2	830
V9HWG1	V9HWG1	V9HWG1_HUMAN	HEL-S-134P	HEL-S-134P	8991
A0A0J9YW37	A0A0J9YW37	A0A0J9YW37_HUMAN	MAP4	MAP4	4134
B7Z2P6	B7Z2P6	B7Z2P6_HUMAN	NA	NA	NA
B7Z9H7	B7Z9H7	B7Z9H7_HUMAN	STK32A	STK32A	202374
B4DWT6	B4DWT6	B4DWT6_HUMAN	NA	NA	NA
B4DN80	B4DN80	B4DN80_HUMAN	NA	NA	NA
Q5TZV8	Q5TZV8	Q5TZV8_HUMAN	NA	NA	NA
E9PPL7	E9PPL7	E9PPL7_HUMAN	CCKBR	CCKBR	887
H3BS65	H3BS65	H3BS65_HUMAN	PIAS1	PIAS1	8554
L0R6D0	L0R6D0	L0R6D0_HUMAN	ASPN	ASPN	54829
